period,category,course,instructor,preference,state,seats
b8,art,orch,gurney,0,registered,28
a1,eng,e10h,scheerer,1,open,34
a2,eng,e10h,harline,1,open,33
a4,eng,e10h,scheerer,1,open,33
b6,eng,e10h,harline,1,open,33
b5,history,ush,belliston,1,open,26
b5,history,ush,salisbury,0,open,25
b7,history,ush,belliston,1,open,17
a3,hope,hope,staff,0,registered,100
a1,lang,sp1,bird,1,open,25
b6,lang,sp1,bird,1,open,25
b7,lang,sp1,bird,1,open,25
a2,math,m3h,larson,0,open,21
a4,math,m3h,palmer,1,open,15
b5,math,m3h,smithson,1,closed,0
b6,math,m3h,smithson,1,closed,0
b7,math,m3h,larson,0,open,14
a1,sci,bio,healy,0,open,32
a2,sci,bio,healy,0,open,32
a4,sci,bio,healy,0,open,32
b7,sci,bio,biggs,1,closed,9
a1,sem,sem,staff,0,open,100
a2,sem,sem,staff,0,open,100
a4,sem,sem,staff,0,open,100
b5,sem,sem,staff,0,open,100
b6,sem,sem,staff,0,open,100
b7,sem,sem,staff,0,open,100
